,Accommodation and food services,"Arts, entertainment, and recreation",Construction,Durable goods,Educational services,Finance and insurance,Government,Health care and social assistance,Information,Mining,Nondurable goods,"Other services, except government",Professional and business services,Real estate and rental and leasing,Retail trade,Transportation and warehousing,Wholesale trade,mismatch index
2001-01-01,0.007900347710432586,0.0012730240432988196,0.0031920823425757657,0.0009680123956493616,0.00029423828012898836,0.001083759176520709,0.0024483049090389623,0.00415798897792613,0.0005131444384863863,0.0002806387657202155,0.0007001395669382284,0.002001403678138518,0.009464316157076018,0.0007279092299976191,0.00617743565545972,0.0011173262429382427,0.0013843543473306458,0.040426686310031656
2002-01-01,0.00874201467882788,0.0016476350307085236,0.0033080847299837807,0.0011152797792793898,0.0005176711321614754,0.0014240898783805514,0.0034292004257999993,0.005953822746307007,0.0005028601637382013,0.00024265060563673352,0.0009344624507041663,0.002094463229899679,0.012705606164580163,0.0010078920369442721,0.007649517145337673,0.00127511630506176,0.0016746995034339143,0.044275373600413004
2003-01-01,0.009129152549598363,0.0016281568363625506,0.0032035640930362474,0.0010224937452275337,0.0004570462039461992,0.0013302165713389503,0.003088071573806377,0.005309386176900982,0.00046696445612993937,0.00022830100520385762,0.0008717982886421768,0.0020957289373478923,0.015161634243762365,0.0009693703509667231,0.008112596641816473,0.0013007875592038968,0.001758524675668353,0.04811981157920686
2004-01-01,0.008422076984298225,0.0014709442072263531,0.003331478995136853,0.0010825150463408236,0.00042627453656722693,0.001484669308960246,0.00267617885479092,0.004414322745667257,0.0004920343022035268,0.0002576197155539628,0.0008292918997865461,0.00185254384942951,0.012533990400497963,0.0008427207047675159,0.008004227517434412,0.001091825410260117,0.001731534055033662,0.037813551434018655
2005-01-01,0.007749497595607061,0.001397083726047489,0.0032165411891877265,0.0010865510675056329,0.0004428059423140086,0.0013189249297178207,0.0022220294982405646,0.003748884715771224,0.0004627337098797105,0.0002961865310208863,0.0006809200896331853,0.0014452693127675656,0.011876483963613918,0.0008910280593264705,0.007059993963881437,0.0011339704437896539,0.0015649435250813153,0.03606193987217776
2006-01-01,0.007468323079755577,0.0012338333687742233,0.002936676014075815,0.0010326283310865961,0.00038947013517710925,0.0011903169622119979,0.0021374224458389083,0.00359452331284904,0.0005747647481452766,0.0003160060285433779,0.0006824890971313342,0.001410047011367222,0.009688370010335474,0.0008790498768814126,0.005988401100102465,0.0011940822639974283,0.0016425691536171743,0.02879057376589278
2007-01-01,0.007675584077885211,0.0012329366636573483,0.003063161674815876,0.0009251403562069105,0.00037189442999568646,0.000985268774367707,0.002141877542724838,0.0036346301377698943,0.0005194600021175383,0.000270707040507864,0.0007661703935122301,0.0015740529257453908,0.009659973004272009,0.0007730642118704881,0.005545942536087864,0.001299064289319675,0.0018886187800076228,0.031847596575781845
2008-01-01,0.009134200706022482,0.0014295828588963442,0.002740476256182585,0.0009786018611962744,0.0005423385176237567,0.001090824037812057,0.0030815490752167858,0.005284706819092319,0.0004386112888655524,0.0005460796389151815,0.0009282831183094925,0.002200630600729781,0.013174801404321741,0.0011766961173884454,0.007450586127744261,0.001437358550727693,0.0017276662316602325,0.04544104309677777
2009-01-01,0.013671364060142976,0.001546133373096984,0.0036106478463305246,0.0010494613113091842,0.0010596578992664552,0.0019903006294107856,0.006680220714520203,0.010182307765147865,0.0007323465503308812,0.0005420346526831118,0.0013740234335730952,0.0038502907800141233,0.02105422824225629,0.0019714526914452364,0.01381705591928444,0.0018394193321569924,0.002534731080404894,0.06542690426479725
2010-01-01,0.012626723234304383,0.002152147779688133,0.004469344411440871,0.0018876447872702654,0.0010926038737503932,0.002673690930741653,0.006495525989975279,0.008827587198659208,0.0010038897115034048,0.0009991056441251128,0.0012469917761630499,0.004219280438626158,0.023700699602768754,0.001390405571957677,0.012408295375687835,0.002119242130458383,0.0026124363743636274,0.04535824988518988
2011-01-01,0.02078572697806253,0.003859529500974486,0.005990806846147587,0.003245266572434383,0.0015352138316327714,0.0031947048128804765,0.0074332973249382804,0.01287839088167415,0.0016197117899720873,0.002328046023171318,0.0018601752839293327,0.004495971403125842,0.0344703457850853,0.002347432106584724,0.018523274531184932,0.00405132547851917,0.0044725858987935815,0.042227224482618064
