,Accommodation and food services,"Arts, entertainment, and recreation",Construction,Durable goods,Educational services,Finance and insurance,Government,Health care and social assistance,Information,Mining,Nondurable goods,"Other services, except government",Professional and business services,Real estate and rental and leasing,Retail trade,Transportation and warehousing,Wholesale trade,mismatch_index,mismatch_trend,mismatch_cycle
2000-12-01,0.0059408860894489424,0.00046701692252988376,0.0028129223736490794,0.0011201964065221156,0.00024713411262203906,0.0008979672915658547,0.001310791191832103,0.0030660641098905223,0.0005071258662212887,0.00010747663794568181,0.0005206159832589068,0.00202325235312453,0.007685932284982985,0.0006568243202313433,0.005348943055860545,0.0005481064547649674,0.0015950054632867254,0.035459086395812744,0.03530145350960642,0.00015763288620632143
2001-01-01,0.00720620158428204,0.0008924599594215495,0.0027475161069158926,0.0010995131602688489,0.0001462115322120215,0.0008861298347393081,0.0019057117895156777,0.003303116326948654,0.0006786138586557239,0.00018181684560179584,0.0005775991487429253,0.002848882869744157,0.007190249299373334,0.0003086503497566715,0.005520509391604129,0.0012628866069119293,0.0017913069859338126,0.03817880419109909,0.0373453033817235,0.0008335008093755883
2001-02-01,0.007027008778816193,0.0007496903441136572,0.0032656831334752926,0.0010820429362947215,0.0002715892970514296,0.0009920801447065941,0.0018967756197888585,0.0033987368306870676,0.0005982827423439466,0.0001242212423792124,0.0006261871501733739,0.001100049617066146,0.00851816459782553,0.000284683494912898,0.005919947315953079,0.0009945270950718539,0.0015966745963026127,0.03215845203142231,0.03940491654246123,-0.007246464511038914
2001-03-01,0.006865792281923244,0.0015968296015687966,0.002765325767481334,0.0009113950575996132,0.00021045665004072863,0.0009432223764307449,0.0018689646058696525,0.0032764848045175473,0.0005548837673066213,0.0002579140296394711,0.0007265373303373021,0.0010680520083937934,0.010915065436686775,0.000793248782163136,0.0047922459994351055,0.0008585659056797644,0.0011907574871921813,0.05021221950724608,0.04157940636137774,0.008632813145868341
2001-04-01,0.006739961292789283,0.0007928656975300333,0.0033741104316038287,0.0008487761931529295,0.0002569562545928806,0.000898456921888684,0.002000720178869761,0.00296148420586413,0.0006181334749056576,0.00046477095807899123,0.000458811063214902,0.0013529541136394008,0.008938213771724358,0.0005470332373859212,0.006247908702091924,0.00099906316071365,0.0015314788122265536,0.04103906692079562,0.043243239756927364,-0.0022041728361317445
2001-05-01,0.006913909283568531,0.001049270282701326,0.0034846446066484136,0.0008315319576022214,0.00031256363563176464,0.0010475522492851851,0.0021632467903235056,0.0035518102586549853,0.0003923589818319121,0.00013373896936640144,0.0005530260439878637,0.0013928965413719518,0.009656537232224772,0.0007719151073687056,0.0057103869753102835,0.0008947170184270357,0.0009134838182667881,0.04639286237745999,0.044634164962151224,0.0017586974153087631
2001-06-01,0.006703674153606804,0.0010349052985059116,0.0032600888746492996,0.0010257724827376817,0.00026294358510995297,0.0011873854758987564,0.0026279824096425122,0.003838234693517722,0.00040502495902938924,0.0003269753945702435,0.0006352634202808525,0.001942509169632816,0.009374505191192147,0.000542735072097411,0.005804655191845501,0.0009881483170965373,0.001209170531938467,0.04120815801433153,0.045769512926477324,-0.004561354912145793
2001-07-01,0.007732408087759628,0.0016167029161672885,0.003361158291456388,0.0009006340436775798,0.00028113594343062264,0.0010379155555952707,0.002471799919858856,0.004142196892129776,0.00042048870023302814,0.0003234375506399875,0.0006473714964698562,0.0022888353408775453,0.008186511224398473,0.0007880685502152976,0.005702250389984315,0.0011184181311040939,0.0011530324695614466,0.04667121500464977,0.046842484340864535,-0.00017126933621476603
2001-08-01,0.009043779453324484,0.0012566266685111085,0.0022134974604331413,0.0008304739897884593,0.00036027755679109835,0.0010694687566648316,0.002760631975906652,0.00539186103441284,0.00043812100241596345,0.00032000861093170723,0.0007729591565973179,0.0025760184244613153,0.008766450841803452,0.001086486444354087,0.006331350740341785,0.0011043590521546453,0.0011127558682450262,0.05467809102691279,0.047590144405057114,0.007087946621855676
2001-09-01,0.00971306505116298,0.0016425422756319156,0.003016916436404825,0.0009904175814961494,0.0003617073947616145,0.0011629021788888065,0.002500274703933079,0.004474264354382227,0.0003198980210964773,0.00026169605036991804,0.0008519731486194169,0.0026138307960691066,0.009745752970905262,0.0009181217055299985,0.005815233391083154,0.0011863026205877366,0.0010941515613061884,0.045397590513588715,0.047732431385177916,-0.0023348408715892013
2001-10-01,0.008085056165384123,0.0015200706037122554,0.0031424031831704885,0.0009296389991080905,0.0004505806324414829,0.001226068831498494,0.0031832791256017987,0.005575311442964294,0.00031832439354519744,0.00034685588672254833,0.0009835124892961095,0.0026153972726848168,0.0094133206451987,0.0010326977151677503,0.007095106034854143,0.001357755557338241,0.0018157935663704497,0.045159226225398585,0.047698078209535304,-0.0025388519841367183
2001-11-01,0.00930244782739091,0.0018379519794012513,0.0035583098936051577,0.0008285708802258658,0.0003161123116440387,0.0012608386421093013,0.0032340394913299153,0.005401967304222315,0.0005233414586645356,0.00016551230563472734,0.0009038589805465021,0.001966564926398093,0.010705546896428827,0.0012175450460082957,0.007173430625869379,0.0013069551252284247,0.0014251237113544874,0.0484564276875199,0.04768233371927875,0.0007740939682411505
2001-12-01,0.009673438170942074,0.0015963398473969,0.003283703235892508,0.0009860222409865979,0.0003828058163399049,0.0012985296035224762,0.003415127305911897,0.0059102493583839365,0.0006120283348753364,0.0004723362514322682,0.0007719651383459555,0.002643848843819765,0.010578595583588913,0.0007817871831533587,0.008002068493942378,0.001333909614824404,0.001363811765898924,0.04571787355814527,0.047626561557144065,-0.0019086879989987926
2002-01-01,0.00862039370256375,0.0016926147647574488,0.0030857797890771477,0.0010810908181631777,0.0005021742906732425,0.0018952752806499734,0.0030243281589944844,0.005951228954640503,0.0005656794549192688,0.0004090052463692203,0.0009756521559782929,0.002277970838784414,0.011337848858719801,0.0010910789467304895,0.008026330667472142,0.0012047212731305986,0.0014512459863959474,0.04877280779897386,0.04754953476269115,0.0012232730362827099
2002-02-01,0.008847843632829477,0.0019449571155638976,0.003099274645886888,0.0010871365887212578,0.0006261007451948835,0.0010584563933648053,0.003616889680927087,0.0061767743871561104,0.0005939516398021088,0.0004958046830845194,0.001112970861820229,0.0020296317363784145,0.010568285086187453,0.0012625091512113802,0.007967155409935655,0.0011690873888801677,0.0015855066035122176,0.04642773548724566,0.04727915757558004,-0.000851422088334379
2002-03-01,0.00831280257341582,0.0021038003165192547,0.00344003151773846,0.0009833818313999378,0.0004972028002808988,0.0015482748767763565,0.0033526446159819956,0.005877237752638332,0.0005528055137171385,0.00011776785266554363,0.0009461396371479385,0.002164511899088602,0.01211855085312075,0.0005597800795418288,0.0076562239680746345,0.0011882627278991154,0.0025009387971555758,0.04997359720796879,0.04676566153909901,0.003207935668869781
2002-04-01,0.008939578046064905,0.0018140448063403273,0.0029465295772640645,0.0011170778417264624,0.0004993120950522365,0.0014397109836536768,0.003510489225781379,0.006105282007941099,0.0005355780700820381,0.00028657115634829185,0.0009730832591794354,0.0022274034474447073,0.011762460623042233,0.0012540377298293766,0.00820997218132098,0.0015085913202463339,0.0016924425395830548,0.04787074986782558,0.04587413598770287,0.001996613880122712
2002-05-01,0.008740617520398817,0.0018949937086194316,0.0031607638576003853,0.0011607775018563206,0.0004279223978217497,0.0012835181547198988,0.0035786723771918227,0.00551585842422333,0.00058459883715982,0.00015095878403403336,0.0008560895465908294,0.0021389211615148737,0.014014508248522042,0.0010250641193880426,0.00754070418175583,0.0014834205454671264,0.0015297791759805745,0.04561054057770908,0.04479046382273345,0.0008200767549756266
2002-06-01,0.008574833417289618,0.0015354995061710802,0.003924038142645659,0.0012074560925836432,0.0009015301904784994,0.0014145547082191033,0.0034322410325600093,0.006023774908157371,0.00044785817892254495,0.00025442725499170244,0.0009919668069522623,0.001714621574696385,0.011550476680511708,0.0012741433742859173,0.007919868049788163,0.0011859065113442818,0.0018958111794010468,0.039974514110835524,0.043900189333544865,-0.0039256752227093406
2002-07-01,0.009091048788295697,0.0012196047087973806,0.0029809870341524886,0.0012670978549621024,0.0005237144238587658,0.0014665011307029108,0.003325948786744586,0.005916140654371746,0.0005990446197759588,0.00018945423598577737,0.0009251759152579041,0.0018993111008683134,0.013084190268178659,0.0009434054684953377,0.008002335717594055,0.0010388963383616183,0.0014901049708791214,0.04211311175218979,0.04367086448498875,-0.001557752732798956
2002-08-01,0.008662470718152638,0.0015925874463379307,0.0032287172161407566,0.0011889377764762012,0.00042229182755679256,0.0014070409538376504,0.0036804902008913632,0.005984904082820793,0.0004869066903782169,0.0002489495663016184,0.0008823729718476158,0.0019550135329366282,0.012851762080862628,0.0007607054557271386,0.007360746501026895,0.0014334038562951634,0.001669495800727852,0.0439680371285589,0.044177473719645914,-0.000209436591087013
2002-09-01,0.008825465586988296,0.0010529169743883219,0.003987002090525039,0.0011328362258875113,0.00047389708229966034,0.0010245191002794523,0.0036436929954781275,0.006289684263969032,0.0004390779085617227,0.00019242452766962166,0.000949785057176954,0.0022005901671547754,0.013023095909946124,0.0007622016180122167,0.007515267859626178,0.0010551843097592094,0.001656848147980223,0.04288570472318576,0.045339226206817185,-0.0024535214836314267
2002-10-01,0.007964799489386953,0.0014750917296916346,0.0035433143161434167,0.0009856616371520075,0.00036683137130318446,0.0013694714763798452,0.0029944055808303455,0.005267327341498929,0.0004205011587899045,0.0002263128551275287,0.000757576444825855,0.0021553838071715703,0.01414895916084358,0.001402280000801481,0.008208445801021369,0.0011293238801142053,0.0015036376894637517,0.04820992913952071,0.04705438745669478,0.0011555416828259307
2002-11-01,0.009161751132918592,0.001303507284841131,0.003364819774411323,0.001030793260249961,0.0004523178202584052,0.0015775248877245064,0.0035790183246270646,0.006005780103242108,0.0004165696587174537,0.00017998908465438612,0.0008884051587455461,0.002031644770584831,0.014028413952933135,0.0007536839817069037,0.006588866507346079,0.0013949500787385815,0.0014603642142178097,0.04718549300570629,0.04897587083110772,-0.0017903778254014305
2002-12-01,0.009283811444924028,0.002177041218046476,0.0028551824159636606,0.0011708852738211155,0.0005482993246547887,0.001572711733032709,0.0034632578557973956,0.0064630366126074345,0.0003698338361384923,0.000145455089504477,0.0009738143200515307,0.0023331394181696358,0.01393624119816024,0.0009876920659897277,0.006571259837754513,0.0015473855871001464,0.0016438058113069742,0.04937249837943691,0.050872143860167696,-0.0014996454807307824
2003-01-01,0.008482782777849623,0.0009985110412718133,0.003175866803521021,0.000930016612726741,0.00045438893574235157,0.0012560080625166853,0.0032496441352518404,0.0050613607166128186,0.0005605119783679421,0.0001772678783027488,0.0008005077618802657,0.0019351088490171466,0.01735215606106082,0.0008827223350146307,0.0067713925641028645,0.001322016422384744,0.0014969908854369747,0.06054035798770829,0.052332636291446216,0.008207721696262077
2003-02-01,0.007178283398155452,0.001700514790885994,0.002851305377569823,0.0009521327755106117,0.00036985350470258925,0.0011205258655502702,0.003198504634511666,0.005240501583650548,0.0004305452112729039,0.00018868509976991885,0.0007529883336982535,0.002494110129399277,0.016751127312830037,0.0010676994100228625,0.008270161383824855,0.0014899373021242711,0.0013747040621281945,0.05735771204680551,0.052796813324441756,0.004560898722363753
2003-03-01,0.009100706692999444,0.0009680522640237822,0.002811251325178887,0.0010632744060895924,0.0003752978292959708,0.001231771939116453,0.003533946333421331,0.005569090126898036,0.0004462447083682975,0.000138278533984766,0.0007515055056207549,0.002079398912682631,0.015759671082536605,0.0011971748741164247,0.007643739428325998,0.0014710396964091905,0.0015627026778000847,0.04955409707809366,0.05252491232827902,-0.00297081525018536
2003-04-01,0.009508961230865701,0.0028534045483343505,0.0043812980164813844,0.0009141063018532172,0.0004916523037385443,0.001619225458899857,0.0033051714200514944,0.005719581742563339,0.0003454425072748893,0.00013586201668773745,0.001016599685394573,0.0032991634104989178,0.01221823201172234,0.0007380413364785743,0.00731055397457976,0.001147325569971255,0.0014341585927808683,0.0442383586780859,0.052233260544319024,-0.007994901866233126
2003-05-01,0.009700887759358713,0.0011640875307209497,0.00308226007617786,0.0009457237218087399,0.0005560102636761792,0.0013766555946596645,0.003101597716980685,0.0063846375176609994,0.0003467408912905882,0.000248198257995293,0.0010165538294418341,0.0022117599672818577,0.015624534243964686,0.0008667539567146511,0.008022246600893998,0.00124436720900372,0.0019022370359785018,0.0528654933856898,0.052341103688904295,0.0005243896967855044
2003-06-01,0.010949649085929603,0.0023517544405198968,0.0036044909406796307,0.000885973141828556,0.0004896361249602478,0.0012219074333666873,0.003755595539164931,0.005557919234307526,0.0004498800391359236,0.0002029573083022364,0.0009058591379134809,0.0020949685725413295,0.014461351345495707,0.0010336145173966106,0.008299358272761416,0.0013355305764890758,0.0014282773790539982,0.05365488593060008,0.052468197291754066,0.001186688638846016
2003-07-01,0.007627893393290193,0.001826565754013556,0.004684001388889018,0.0008532549498341813,0.0005203991069584707,0.0012721741025712198,0.0029373020512503062,0.00507500066739739,0.0003504955849067692,0.000265487703548782,0.0008573468885609246,0.0017743730738520329,0.016276747179141984,0.0015548774220477814,0.007849733235191954,0.001295693595083017,0.0018133736362934707,0.051018370293134496,0.05228673585226612,-0.0012683655591316234
